date,sarima,sarima_low,sarima_high,ml
2026-06-19,1.2184514753682025,0.0,4.152765761160565,1.681841686588457
2026-06-20,1.293399639082891,0.0,4.250765134394611,2.401202991119161
2026-06-21,1.2436882240141243,0.0,4.203717107871106,2.037525496605633
2026-06-22,1.4018489885754402,0.0,4.363653034873882,1.7725809383660251
2026-06-23,1.2497462704605031,0.0,4.213249824371113,2.769936403209693
2026-06-24,1.2440946766683456,0.0,4.209289787143935,1.420479295399791
2026-06-25,1.3076026626576163,0.0,4.274487705654036,3.50040593011796
2026-06-26,1.3080744466505538,0.0,4.285957567906598,1.293453623288931
2026-06-27,1.3199033527282795,0.0,4.300189681691204,2.0398775139041
2026-06-28,1.3086858241692676,0.0,4.290884365890392,2.335412675517253
2026-06-29,1.3429951149534791,0.0,4.327061237915667,1.3545107192474752
2026-06-30,1.3099578324557202,0.0,4.295886286303189,3.1186793395925103
2026-07-01,1.308730067620322,0.0,4.2965193054121436,2.4459320173442864
2026-07-02,1.3225226297337465,0.0,4.3121714567599465,2.805516210671596
2026-07-03,1.3226250880644623,0.0,4.315513617409348,1.7072789309999437
2026-07-04,1.3251940768422543,0.0,4.32009141825472,2.2590835151761723
2026-07-05,1.322757866042844,0.0,4.3195615869539505,1.8206974810503773
2026-07-06,1.3302091208598914,0.0,4.328908577527715,2.4985811474498045
2026-07-07,1.3230341194294988,0.0,4.323627222722585,3.2185398587683243
2026-07-08,1.3227674747848839,0.0,4.325252946037925,2.554657689415164
2026-07-09,1.325762928569428,0.0,4.330139567852559,2.7073217198735846
2026-07-10,1.3257851803593401,0.0,4.332320898302031,1.4434520354795728
2026-07-11,1.3263431105751775,0.0,4.334800240726082,2.2012455088498193
2026-07-12,1.3258140169376769,0.0,4.336169694465589,1.5254407110890456
2026-07-13,1.3274322724334864,0.0,4.3396832591706875,2.6290507650769377
2026-07-14,1.3258740133506524,0.0,4.340018924356881,2.853762100144404
2026-07-15,1.3258161037539238,0.0,4.341853731456868,3.4327315138999204
2026-07-16,1.3264666531806044,0.0,4.344395808819038,2.052428944127895
2026-07-17,1.3264714858003712,0.0,4.34634778368167,2.1361370692318573
2026-07-18,1.3265926564837294,0.0,4.3483651620515325,1.4554063533561095
