date,sarima,sarima_low,sarima_high,ml
2026-06-21,6.758185384882178,2.2148825046705305,11.301488265093825,7.100929583811811
2026-06-22,7.813546239729647,3.1417978750163984,12.485294604442895,6.9176421039387765
2026-06-23,7.9971258262030185,3.303142721229692,12.691108931176345,6.834099825996271
2026-06-24,8.034037392271115,3.3276927295484233,12.740382054993805,6.811099347681332
2026-06-25,8.037456743854268,3.320260525661241,12.754652962047295,6.556760299152195
2026-06-26,8.045038133650786,3.3172746101322828,12.772801657169289,7.709690698162419
2026-06-27,8.031959033920398,3.293698734572496,12.7702193332683,7.72603002407884
2026-06-28,8.041603242478748,3.292376048154133,12.790830436803365,4.689950006838664
2026-06-29,8.04347133549275,3.2836859635028857,12.803256707482614,8.3951611488438
2026-06-30,8.043463702532707,3.2732127228783403,12.813714682187072,5.4375711612239614
2026-07-01,8.04358781128082,3.2629067319149003,12.824268890646742,7.242951957622228
2026-07-02,8.043486002077195,3.252399825923134,12.834572178231255,7.603057177737594
2026-07-03,8.04372763620048,3.2422593306438934,12.845195941757066,5.802288857090789
2026-07-04,8.043230658831632,3.231402700989716,12.85505861667355,6.166124328383434
2026-07-05,8.043590054654379,3.221406404102372,12.865773705206387,4.028560894234728
2026-07-06,8.04365968529788,3.211156433358859,12.876162937236902,8.025660932708371
2026-07-07,8.043659352860232,3.2008610240764606,12.886457681644004,5.874380220090991
2026-07-08,8.043663987315787,3.1905928833791517,12.896735091252422,6.983054928071806
2026-07-09,8.043660176971207,3.180338081289859,12.906982272652554,8.3935002497744
2026-07-10,8.043669216444878,3.170117706210272,12.917220726679483,6.122472782516828
2026-07-11,8.043650624001364,3.159891128277267,12.927410119725462,5.64076193323771
2026-07-12,8.043664069327827,3.1497172060816085,12.937610932574046,5.195740306629789
2026-07-13,8.043666674273995,3.1395541179681796,12.94777923057981,8.689385323025489
2026-07-14,8.04366666183687,3.129409534731777,12.957923788941962,7.022479829062873
2026-07-15,8.043666835216156,3.119286052839387,12.968047617592925,7.829357016855204
2026-07-16,8.043666692667568,3.109183027916127,12.978150357419008,6.007583671602535
2026-07-17,8.043667030842785,3.099101126746887,12.988232934938683,6.737272261916995
2026-07-18,8.043666335281973,3.0890387083889665,12.99829396217498,8.295335487596669
2026-07-19,8.043666838284292,3.0789978554347837,13.0083358211338,4.475218554130829
2026-07-20,8.04366693573778,3.068976884143453,13.018356987332108,8.168336302796796
