date,sarima,sarima_low,sarima_high,ml
2026-06-19,22.003282595288262,17.96760721444761,24.0,23.477945891940035
2026-06-20,22.967369774802304,18.734581128151017,24.0,23.104481903116305
2026-06-21,23.199515259805107,18.922680620179314,24.0,22.5154457313134
2026-06-22,23.25542478881928,18.954748836885663,24.0,22.518963814492967
2026-06-23,23.268888821147243,18.948362494524332,24.0,22.823297754683946
2026-06-24,23.272129976850646,18.93271865855439,24.0,22.917731890182754
2026-06-25,23.391182079393346,19.033174385585383,24.0,23.018827181270325
2026-06-26,23.312458913391467,18.942565621831864,24.0,22.91412548195086
2026-06-27,23.293499711340004,18.907431206033117,24.0,22.609903840526606
2026-06-28,23.288935228852043,18.885614723511686,24.0,21.968886186016576
2026-06-29,23.287835778866047,18.867052318252227,24.0,22.263198928047277
2026-06-30,23.28757101115356,18.849326222482727,24.0,22.412063642086746
2026-07-01,23.28750731307433,18.831853514452618,24.0,22.688759948928688
2026-07-02,23.281441552748873,18.808442634069863,24.0,22.597073062593395
