date,sarima,sarima_low,sarima_high,ml
2026-06-12,1.0797814468631677,0.0,3.4279173915864103,1.7975436304110013
2026-06-13,1.0494928523479372,0.0,3.4068361788300825,1.9281262730044115
2026-06-14,1.088416143833198,0.0,3.446178515187065,1.4203549144122618
2026-06-15,1.0704157524768894,0.0,3.4283943012207705,2.09674265462938
2026-06-16,1.0845876215807693,0.0,3.4427695537159932,1.1631768629028516
2026-06-17,1.0970477610489615,0.0,3.4554320979853417,2.2352868176311222
2026-06-18,1.04853275363194,0.0,3.407119404585192,2.6796191640283795
2026-06-19,1.0770859881186299,0.0,3.4369386539551847,2.0059136423200767
2026-06-20,1.0555299620481253,0.0,3.4156422273254483,1.1332781483692946
2026-06-21,1.0807843721665529,0.0,3.441110455887288,1.5142062010499953
2026-06-22,1.0690311791219926,0.0,3.429567744891387,1.0507482928571945
2026-06-23,1.0782754900701714,0.0,3.4390222664790127,1.5491626324181766
2026-06-24,1.086403885358076,0.0,3.447360834372293,1.6628826306779074
2026-06-25,1.0547547852526629,0.0,3.4159218866868133,1.763470775556643
