date,sarima,sarima_low,sarima_high,ml
2026-06-21,18.98334300987147,14.408231950099776,23.55845406964316,19.882001954336317
2026-06-22,21.099949658360607,16.436754152371343,24.0,21.675290368086806
2026-06-23,21.344977702317017,16.658070005394634,24.0,21.710394265679327
2026-06-24,21.369194948452492,16.6634853718468,24.0,22.21965067597838
2026-06-25,21.3726984732658,16.648786808318327,24.0,22.286201858667408
2026-06-26,21.33560804402694,16.593625069283366,24.0,21.671276079117206
2026-06-27,20.52483316299057,15.764854603147619,24.0,22.622314516083996
2026-06-28,21.186990296149922,16.391418254546345,24.0,22.125569704283564
2026-06-29,21.26419987061191,16.447843869117914,24.0,22.36199285963074
2026-06-30,21.273607681537445,16.43800870160604,24.0,22.871886033425877
2026-07-01,21.275162938955184,16.420563582289315,24.0,22.763497680728047
2026-07-02,21.275280096025504,16.40177384296189,24.0,21.938276010309686
2026-07-03,21.279009613976715,16.386671800077426,24.0,22.882493911734397
2026-07-04,21.359349541323265,16.448252640838824,24.0,20.44577311317952
