date,sarima,sarima_low,sarima_high,ml
2026-06-20,20.430089485230557,16.964848331529247,23.895330638931867,18.720411336502746
2026-06-21,21.012019509912122,17.4219056665347,24.0,19.251964363182065
2026-06-22,21.110429778466266,17.484081409681714,24.0,20.669277881327524
2026-06-23,21.138070341938214,17.48523415137702,24.0,21.00484039537268
2026-06-24,21.096674562917315,17.41897955167562,24.0,20.370399943089417
2026-06-25,21.124867647563807,17.422718396714078,24.0,19.808214459612735
2026-06-26,21.10307810106961,17.37667490371231,24.0,19.87656851528017
2026-06-27,21.121714000854535,17.36901718299333,24.0,20.380516386991975
2026-06-28,21.124915001143698,17.347713328858426,24.0,20.088168295826208
2026-06-29,21.125456346276557,17.324172635900354,24.0,20.313904912345905
2026-06-30,21.125838548612716,17.30066877713582,24.0,20.216119222052047
2026-07-01,21.124685702265772,17.275785554997118,24.0,19.606599366573356
2026-07-02,21.125420794137675,17.252936939337964,24.0,20.06390546574048
2026-07-03,21.124843283624855,17.228918691537167,24.0,20.277686485030756
2026-07-04,21.125335484624415,17.206055546306203,24.0,20.386918465356096
2026-07-05,21.125420028416915,17.182962860751697,24.0,19.748237351752874
2026-07-06,21.125434326251305,17.159942073068155,24.0,20.193108887298056
2026-07-07,21.125444425230103,17.13705124746011,24.0,20.463633906467496
2026-07-08,21.125413959043495,17.114250791632628,24.0,20.40391645240532
2026-07-09,21.125433385075056,17.09162878960277,24.0,20.088985014199896
2026-07-10,21.12541812335673,17.0690984823547,24.0,20.163588669786158
2026-07-11,21.1254311306162,17.046719337270037,24.0,20.025426058918654
2026-07-12,21.125433364831586,17.024452692379466,24.0,19.748237351752874
2026-07-13,21.125433742676496,17.00230463262198,24.0,20.193108887298056
2026-07-14,21.125434009559427,16.980274832431025,24.0,20.31104159776022
2026-07-15,21.125433204437883,16.958360429786616,24.0,20.40391645240532
2026-07-16,21.12543371780428,16.936561983318267,24.0,20.29723264135198
2026-07-17,21.125433314487044,16.914875476674247,24.0,20.37183629693824
2026-07-18,21.125433658226317,16.893300803147664,24.0,20.025426058918654
2026-07-19,21.125433717269313,16.87183530161217,24.0,19.748237351752874
