timestamp,alert_probability
2026-06-20 01:00:00+03:00,1.0
2026-06-20 02:00:00+03:00,0.9866296753698384
2026-06-20 03:00:00+03:00,0.9587061939914467
2026-06-20 04:00:00+03:00,0.9307827126130551
2026-06-20 05:00:00+03:00,0.9866296753698384
2026-06-20 06:00:00+03:00,0.8097809599733579
2026-06-20 07:00:00+03:00,0.6329322445768775
2026-06-20 08:00:00+03:00,0.7632418243427053
2026-06-20 09:00:00+03:00,0.8656279227301412
2026-06-20 10:00:00+03:00,1.0
2026-06-20 11:00:00+03:00,1.0
2026-06-20 12:00:00+03:00,1.0
2026-06-20 13:00:00+03:00,1.0
2026-06-20 14:00:00+03:00,1.0
2026-06-20 15:00:00+03:00,1.0
2026-06-20 16:00:00+03:00,1.0
2026-06-20 17:00:00+03:00,1.0
2026-06-20 18:00:00+03:00,0.9400905397391857
2026-06-20 19:00:00+03:00,0.7818574785949663
2026-06-20 20:00:00+03:00,0.828396614225619
2026-06-20 21:00:00+03:00,1.0
2026-06-20 22:00:00+03:00,1.0
2026-06-20 23:00:00+03:00,1.0
2026-06-21 00:00:00+03:00,1.0
2026-06-21 01:00:00+03:00,0.995937502495969
2026-06-21 02:00:00+03:00,0.995937502495969
2026-06-21 03:00:00+03:00,0.7479955192763738
2026-06-21 04:00:00+03:00,0.8656279227301412
2026-06-21 05:00:00+03:00,0.84701226847788
2026-06-21 06:00:00+03:00,0.7167026887120526
2026-06-21 07:00:00+03:00,0.5584696275678331
2026-06-21 08:00:00+03:00,0.6143165903246165
2026-06-21 09:00:00+03:00,0.9493983668653162
2026-06-21 10:00:00+03:00,1.0
2026-06-21 11:00:00+03:00,1.0
2026-06-21 12:00:00+03:00,1.0
2026-06-21 13:00:00+03:00,0.9028592312346634
2026-06-21 14:00:00+03:00,0.828396614225619
2026-06-21 15:00:00+03:00,0.8377044413517496
2026-06-21 16:00:00+03:00,0.8190887870994885
2026-06-21 17:00:00+03:00,0.9400905397391857
2026-06-21 18:00:00+03:00,0.9866296753698384
2026-06-21 19:00:00+03:00,0.7725496514688358
2026-06-21 20:00:00+03:00,0.8563200956040107
2026-06-21 21:00:00+03:00,1.0
2026-06-21 22:00:00+03:00,1.0
2026-06-21 23:00:00+03:00,1.0
2026-06-22 00:00:00+03:00,1.0
2026-06-22 01:00:00+03:00,1.0
2026-06-22 02:00:00+03:00,0.9493983668653162
2026-06-22 03:00:00+03:00,0.8377044413517496
2026-06-22 04:00:00+03:00,0.8749357498562718
2026-06-22 05:00:00+03:00,0.8749357498562718
2026-06-22 06:00:00+03:00,0.7632418243427053
2026-06-22 07:00:00+03:00,0.6143165903246165
2026-06-22 08:00:00+03:00,0.7632418243427053
2026-06-22 09:00:00+03:00,0.9866296753698384
2026-06-22 10:00:00+03:00,1.0
2026-06-22 11:00:00+03:00,1.0
2026-06-22 12:00:00+03:00,1.0
2026-06-22 13:00:00+03:00,1.0
2026-06-22 14:00:00+03:00,0.9307827126130551
2026-06-22 15:00:00+03:00,0.893551404108533
2026-06-22 16:00:00+03:00,0.893551404108533
2026-06-22 17:00:00+03:00,1.0
2026-06-22 18:00:00+03:00,1.0
2026-06-22 19:00:00+03:00,0.7632418243427053
2026-06-22 20:00:00+03:00,0.8749357498562718
2026-06-22 21:00:00+03:00,1.0
2026-06-22 22:00:00+03:00,1.0
2026-06-22 23:00:00+03:00,1.0
2026-06-23 00:00:00+03:00,1.0
2026-06-23 01:00:00+03:00,1.0
2026-06-23 02:00:00+03:00,0.9028592312346634
2026-06-23 03:00:00+03:00,0.9028592312346634
2026-06-23 04:00:00+03:00,0.9121670583607939
2026-06-23 05:00:00+03:00,0.9400905397391857
2026-06-23 06:00:00+03:00,0.7911653057210969
2026-06-23 07:00:00+03:00,0.7073948615859219
2026-06-23 08:00:00+03:00,0.7167026887120526
2026-06-23 09:00:00+03:00,0.84701226847788
2026-06-23 10:00:00+03:00,1.0
2026-06-23 11:00:00+03:00,1.0
2026-06-23 12:00:00+03:00,1.0
2026-06-23 13:00:00+03:00,1.0
2026-06-23 14:00:00+03:00,1.0
2026-06-23 15:00:00+03:00,1.0
2026-06-23 16:00:00+03:00,1.0
2026-06-23 17:00:00+03:00,1.0
2026-06-23 18:00:00+03:00,0.9773218482437078
2026-06-23 19:00:00+03:00,0.7725496514688358
2026-06-23 20:00:00+03:00,0.8842435769824023
2026-06-23 21:00:00+03:00,1.0
2026-06-23 22:00:00+03:00,1.0
2026-06-23 23:00:00+03:00,1.0
2026-06-24 00:00:00+03:00,1.0
2026-06-24 01:00:00+03:00,1.0
2026-06-24 02:00:00+03:00,0.9400905397391857
2026-06-24 03:00:00+03:00,0.8563200956040107
2026-06-24 04:00:00+03:00,0.7818574785949663
2026-06-24 05:00:00+03:00,0.8656279227301412
2026-06-24 06:00:00+03:00,0.6887792073336608
2026-06-24 07:00:00+03:00,0.642240071703008
2026-06-24 08:00:00+03:00,0.8190887870994885
2026-06-24 09:00:00+03:00,0.995937502495969
2026-06-24 10:00:00+03:00,1.0
2026-06-24 11:00:00+03:00,1.0
2026-06-24 12:00:00+03:00,1.0
2026-06-24 13:00:00+03:00,1.0
2026-06-24 14:00:00+03:00,1.0
2026-06-24 15:00:00+03:00,0.9729392390587586
2026-06-24 16:00:00+03:00,1.0
2026-06-24 17:00:00+03:00,1.0
2026-06-24 18:00:00+03:00,0.9729392390587586
2026-06-24 19:00:00+03:00,0.9358748870946153
2026-06-24 20:00:00+03:00,0.8895444471394364
2026-06-24 21:00:00+03:00,1.0
2026-06-24 22:00:00+03:00,1.0
2026-06-24 23:00:00+03:00,1.0
2026-06-25 00:00:00+03:00,1.0
2026-06-25 01:00:00+03:00,1.0
2026-06-25 02:00:00+03:00,1.0
2026-06-25 03:00:00+03:00,0.8895444471394364
2026-06-25 04:00:00+03:00,0.861746183166329
2026-06-25 05:00:00+03:00,0.9358748870946153
2026-06-25 06:00:00+03:00,0.8246818312021857
2026-06-25 07:00:00+03:00,0.6949565993276847
2026-06-25 08:00:00+03:00,0.6856905113366489
2026-06-25 09:00:00+03:00,0.8710122711573648
2026-06-25 10:00:00+03:00,1.0
2026-06-25 11:00:00+03:00,1.0
2026-06-25 12:00:00+03:00,1.0
2026-06-25 13:00:00+03:00,1.0
2026-06-25 14:00:00+03:00,0.9173427111125437
2026-06-25 15:00:00+03:00,0.9080766231215079
2026-06-25 16:00:00+03:00,0.9173427111125437
2026-06-25 17:00:00+03:00,1.0
2026-06-25 18:00:00+03:00,1.0
2026-06-25 19:00:00+03:00,0.8895444471394364
2026-06-25 20:00:00+03:00,0.954407063076687
2026-06-25 21:00:00+03:00,1.0
2026-06-25 22:00:00+03:00,1.0
2026-06-25 23:00:00+03:00,1.0
2026-06-26 00:00:00+03:00,1.0
2026-06-26 01:00:00+03:00,1.0
2026-06-26 02:00:00+03:00,1.0
2026-06-26 03:00:00+03:00,0.898810535130472
2026-06-26 04:00:00+03:00,0.861746183166329
2026-06-26 05:00:00+03:00,0.7876174792380426
2026-06-26 06:00:00+03:00,0.6578922473635415
2026-06-26 07:00:00+03:00,0.6393600713814699
2026-06-26 08:00:00+03:00,0.6578922473635415
2026-06-26 09:00:00+03:00,0.9080766231215079
2026-06-26 10:00:00+03:00,1.0
2026-06-26 11:00:00+03:00,1.0
2026-06-26 12:00:00+03:00,1.0
2026-06-26 13:00:00+03:00,1.0
2026-06-26 14:00:00+03:00,1.0
2026-06-26 15:00:00+03:00,0.9451409750856511
2026-06-26 16:00:00+03:00,1.0
2026-06-26 17:00:00+03:00,1.0
2026-06-26 18:00:00+03:00,0.9822053270497942
2026-06-26 19:00:00+03:00,0.8246818312021857
2026-06-26 20:00:00+03:00,0.9173427111125437
2026-06-26 21:00:00+03:00,1.0
2026-06-26 22:00:00+03:00,1.0
2026-06-26 23:00:00+03:00,1.0
2026-06-27 00:00:00+03:00,1.0
