date,sarima,sarima_low,sarima_high,ml
2026-06-21,16.22875338057709,11.86602482222896,20.59148193892522,11.747375921423217
2026-06-22,18.870980473936033,14.303764369769024,23.438196578103042,16.07434999608157
2026-06-23,19.34455538200802,14.7046690280207,23.984441735995343,19.73810413603932
2026-06-24,19.42882505892132,14.732867267465078,24.0,20.43999542474693
2026-06-25,19.47004951848021,14.721200651625782,24.0,20.075025929388694
2026-06-26,19.49173961258973,14.691017582125031,24.0,19.498493096899832
2026-06-27,19.007805386971697,14.155840829128515,23.85976994481488,21.4244618753427
2026-06-28,19.32203783331383,14.404767463611892,24.0,20.30277798831274
2026-06-29,19.39288012854155,14.421309484088177,24.0,19.3849717336197
2026-06-30,19.40387322197014,14.380279200478357,24.0,18.549834456782577
2026-07-01,19.405710669281547,14.330920085872574,24.0,17.845629290576458
2026-07-02,19.398760272693917,14.27333587936811,24.0,17.804943593770965
2026-07-03,19.39354859356958,14.217994740999202,24.0,18.87666700619346
2026-07-04,19.527569216464517,14.302368394410841,24.0,19.782167536624083
