date,sarima,sarima_low,sarima_high,ml
2026-06-21,15.774032860004112,10.844423560037473,20.70364215997075,10.871085724698634
2026-06-22,18.504416868191583,13.377855775086648,23.63097796129652,12.847307044988922
2026-06-23,18.829443710091265,13.651593359955626,24.0,16.65941499725419
2026-06-24,19.180939731395792,13.968949780201221,24.0,21.108068483105054
2026-06-25,19.0204335098029,13.777347234928794,24.0,21.103208749526047
2026-06-26,18.775180109829613,13.501708669725232,24.0,21.763382949341427
2026-06-27,19.808591532018482,14.505009855492627,24.0,23.90942963060199
2026-06-28,19.401078895644364,14.086208073380046,24.0,22.487664343425426
2026-06-29,19.24323257527707,13.904715914663129,24.0,24.0
2026-06-30,19.082870219093856,13.71791382491963,24.0,24.0
2026-07-01,19.237189661677238,13.845346987379987,24.0,24.0
2026-07-02,19.12041296823746,13.701705959005517,24.0,22.444964412710256
2026-07-03,18.960353150295624,13.514892886484123,24.0,21.857935485556112
2026-07-04,19.62307160402233,14.150984757986297,24.0,21.862160388842206
2026-07-05,19.361435295340975,13.874798720706742,24.0,21.622298516133572
2026-07-06,19.260112109617086,13.750808591082336,24.0,22.754080796109378
2026-07-07,19.15718961998962,13.623536551688678,24.0,22.524456277703983
2026-07-08,19.256229418461018,13.697984368472977,24.0,21.81642913790046
2026-07-09,19.18128328865593,13.598487163061318,24.0,20.55755051340244
2026-07-10,19.078558639141963,13.47130595632298,24.0,21.62543121710298
2026-07-11,19.503884015994952,13.872278487251783,24.0,20.899779867572487
2026-07-12,19.335968722600136,13.687710608269974,24.0,21.054208048513484
2026-07-13,19.27094062121109,13.6008112009741,24.0,20.420326355666102
2026-07-14,19.204886104400636,13.511873128934127,24.0,19.807959433894112
2026-07-15,19.26844875287812,13.552429857319312,24.0,18.69483319018116
2026-07-16,19.2203491547595,13.48137528285852,24.0,16.666435775087816
2026-07-17,19.154421609585047,13.392576266379612,24.0,17.933115663223653
2026-07-18,19.427390737529212,13.64276282343663,24.0,17.41730724964838
2026-07-19,19.319624557327067,13.5171073511604,24.0,17.174427607934977
2026-07-20,19.277890240274616,13.454174232526267,24.0,17.584771081283783
