date,sarima,sarima_low,sarima_high,ml
2026-06-19,2.8811323662527886,0.0,6.414272648154855,3.508504761669915
2026-06-20,2.6343155887466385,0.0,6.187150213834656,1.632652095580675
2026-06-21,2.6929776666640057,0.0,6.249577096134027,1.7216226564727617
2026-06-22,2.843133477678021,0.0,6.402879857445505,2.464688316823858
2026-06-23,2.656219913960454,0.0,6.219071638623697,2.2174018710770254
2026-06-24,2.58941339381244,0.0,6.1553651897755834,2.458684177888
2026-06-25,2.7985509003386064,0.0,6.3675999043256875,2.001488994038854
2026-06-26,2.695886171266326,0.0,6.275036675826198,4.589908118671338
2026-06-27,2.6697845243939025,0.0,6.252570045589137,2.2650662526013248
2026-06-28,2.7046362708751515,0.0,6.290739217445433,3.0038120607738055
2026-06-29,2.778238353738404,0.0,6.3676353200528775,2.7742765686612545
2026-06-30,2.687164138599377,0.0,6.279850756279648,2.896138774776152
2026-07-01,2.6546044104139486,0.0,6.2505775805360555,3.630192616502186
2026-07-02,2.7565383639810586,0.0,6.355795079587966,3.0019504660842666
