date,sarima,sarima_low,sarima_high,ml
2026-06-19,1.769516473296313,0.0,5.147805384046615,0.9535611126050698
2026-06-20,1.7892947583356429,0.0,5.199333333673431,0.0
2026-06-21,1.8050547233330372,0.0,5.217312685199478,0.0
2026-06-22,2.13504359742782,0.0,5.548313286203541,1.6663491178503083
2026-06-23,1.8129298100763371,0.0,5.22710027861339,1.8114760307886641
2026-06-24,1.80160488301135,0.0,5.216663360446475,1.313273770013236
2026-06-25,1.8744497502588409,0.0,5.290394544372283,2.239734832437679
2026-06-26,1.9232406250863154,0.0,5.351359985564487,1.977842138404665
2026-06-27,1.9115240157010949,0.0,5.341305913202087,1.8623861818239686
2026-06-28,1.9134842638245664,0.0,5.344331246433557,1.0393986020939054
2026-06-29,1.9950438084789508,0.0,5.426894342894327,2.3410264090507193
2026-06-30,1.9151815840991493,0.0,5.348028331313318,3.501378954635858
2026-07-01,1.9123715898713174,0.0,5.346213437770203,2.3073162261175053
2026-07-02,1.9304257443228294,0.0,5.365262308292957,2.634021766155048
2026-07-03,1.9425184661298678,0.0,5.380003753681129,1.50914008064629
2026-07-04,1.9396145123745003,0.0,5.3782735851903904,2.2918903117332103
2026-07-05,1.9401003571274775,0.0,5.379799009670467,2.817687712999338
2026-07-06,1.960314800440957,0.0,5.401037585577835,3.227670782449037
2026-07-07,1.940521036012759,0.0,5.3822658848847995,2.365194060861679
2026-07-08,1.939824582034988,0.0,5.382590984823295,3.2476182855576825
2026-07-09,1.9442992843461822,0.0,5.3880869138624,2.946408462927436
2026-07-10,1.9472964521373968,0.0,5.392444659983245,2.717169579335703
2026-07-11,1.9465767103950742,0.0,5.392789210345445,2.2674041345427187
2026-07-12,1.946697126482403,0.0,5.393941338501204,3.5624423037797386
2026-07-13,1.9517072540106397,0.0,5.399979126723733,2.0149024143394003
2026-07-14,1.9468013912811415,0.0,5.396100180865601,3.4387506901909473
2026-07-15,1.9466287759292336,0.0,5.396954125522791,2.376025351657781
2026-07-16,1.9477378259724287,0.0,5.399089424242451,3.7073561487202773
2026-07-17,1.9484806707109477,0.0,5.4009379619644875,2.2116960724887567
2026-07-18,1.948302283512225,0.0,5.401795968215162,2.9727120109079794
